index,filename,sections,dll,date
10,FGTR43_EF8E0FB20E7228C7492CCDC59D87C690,"[['IMAGE_SECTION_HEADER', '0x1000', '0x5f000', 0], ['IMAGE_SECTION_HEADER', '0x60000', '0x48000', 292352], ['IMAGE_SECTION_HEADER', '0xa8000', '0x1000', 2048]]","[{'name': b'ADVAPI32.dll', 'functions': ['RegSaveKeyA']}, {'name': b'GDI32.dll', 'functions': ['BitBlt']}, {'name': b'KERNEL32.DLL', 'functions': ['LoadLibraryA', 'GetProcAddress', 'VirtualProtect']}, {'name': b'MSVCRT.dll', 'functions': ['_iob']}, {'name': b'NETAPI32.dll', 'functions': ['Netbios']}, {'name': b'PSAPI.DLL', 'functions': ['EnumProcessModules']}, {'name': b'USER32.dll', 'functions': ['GetDC']}, {'name': b'WS2_32.dll', 'functions': ['WSASetLastError']}]",Tue Feb  9 08:29:43 2010 UTC
11,TG78Z__727A6800991EEAD454E53E8AF164A99C,"[['IMAGE_SECTION_HEADER', '0x1000', '0x68000', 0], ['IMAGE_SECTION_HEADER', '0x69000', '0x55000', 346112], ['IMAGE_SECTION_HEADER', '0xbe000', '0x1000', 1024]]","[{'name': b'ADVAPI32.dll', 'functions': ['RegSaveKeyA']}, {'name': b'GDI32.dll', 'functions': ['BitBlt']}, {'name': b'KERNEL32.DLL', 'functions': ['LoadLibraryA', 'ExitProcess', 'GetProcAddress', 'VirtualProtect']}, {'name': b'MSVCRT.dll', 'functions': ['exit']}, {'name': b'NETAPI32.dll', 'functions': ['Netbios']}, {'name': b'ntdll.dll', 'functions': ['atoi']}, {'name': b'PSAPI.DLL', 'functions': ['EnumProcessModules']}, {'name': b'USER32.dll', 'functions': ['GetDC']}, {'name': b'WS2_32.dll', 'functions': ['WSAGetLastError']}]",Tue Jan 11 03:22:02 2011 UTC
12,POL55_A4F1ECC4D25B33395196B5D51A06790,"[['IMAGE_SECTION_HEADER', '0x1000', '0x25da', 9728], ['IMAGE_SECTION_HEADER', '0x4000', '0xa24', 3072], ['IMAGE_SECTION_HEADER', '0x5000', '0x3d2468', 1536]]","[{'name': b'KERNEL32.dll', 'functions': ['CreateFileA', 'LocalAlloc', 'Sleep', 'CreateThread', 'CreateMutexA', 'CopyFileW', 'GetFileSize', 'CreateProcessA', 'GetEnvironmentVariableW', 'GetShortPathNameW', 'GetStartupInfoA', 'GetModuleHandleA', 'ReadFile', 'LocalFree', 'GetLastError', 'GetModuleFileNameW', 'CloseHandle']}, {'name': b'USER32.dll', 'functions': ['SendMessageA', 'FindWindowExA']}, {'name': b'ADVAPI32.dll', 'functions': ['RegQueryValueExA', 'RegCloseKey', 'RegSetValueExW', 'RegOpenKeyExA']}, {'name': b'SHELL32.dll', 'functions': ['SHGetSpecialFolderPathW', 'ShellExecuteW']}, {'name': b'MSVCRT.dll', 'functions': ['_controlfp', '_except_handler3', '__set_app_type', 'memset', '__CxxFrameHandler', 'strlen', 'sprintf', 'memcpy', 'strcpy', 'strcat', '_mbsnbcpy', '_mbsnbcmp', 'atol', '_mbscmp', 'atoi', 'fclose', 'fwrite', 'fopen', 'strstr', 'wcslen', 'wcstombs', 'setlocale', 'wcscmp', 'wcscat', 'mbstowcs', 'wcsrchr', 'wcscpy', 'getenv', 'strcmp', 'time', 'free', '__dllonexit', '_onexit', '_exit', '_XcptFilter', 'exit', '_acmdln', '__getmainargs', '_initterm', '__setusermatherr', '_adjust_fdiv', '__p__commode', '__p__fmode', '_strnicmp']}, {'name': b'WININET.dll', 'functions': ['HttpAddRequestHeadersA', 'HttpOpenRequestA', 'HttpEndRequestA', 'InternetWriteFile', 'HttpSendRequestA', 'InternetReadFile', 'HttpQueryInfoA', 'InternetAttemptConnect', 'InternetCloseHandle', 'InternetConnectA', 'InternetOpenA', 'HttpSendRequestExA']}, {'name': b'WS2_32.dll', 'functions': ['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']}]",Fri Jul 29 07:10:31 2011 UTC
13,VC990_468FF2C12CFFC7E5B2FE0EE6BB3B239E,"[['IMAGE_SECTION_HEADER', '0x1000', '0x68000', 0], ['IMAGE_SECTION_HEADER', '0x69000', '0x55000', 346112], ['IMAGE_SECTION_HEADER', '0xbe000', '0x1000', 1024]]","[{'name': b'ADVAPI32.dll', 'functions': ['RegSaveKeyA']}, {'name': b'GDI32.dll', 'functions': ['BitBlt']}, {'name': b'KERNEL32.DLL', 'functions': ['LoadLibraryA', 'ExitProcess', 'GetProcAddress', 'VirtualProtect']}, {'name': b'MSVCRT.dll', 'functions': ['exit']}, {'name': b'NETAPI32.dll', 'functions': ['Netbios']}, {'name': b'ntdll.dll', 'functions': ['atoi']}, {'name': b'PSAPI.DLL', 'functions': ['EnumProcessModules']}, {'name': b'USER32.dll', 'functions': ['GetDC']}, {'name': b'WS2_32.dll', 'functions': ['WSAGetLastError']}]",Tue Jan 11 03:22:02 2011 UTC
14,K99_C3A9A7B026BFE0E55FF219FD6AA7D94,"[['IMAGE_SECTION_HEADER', '0x1000', '0x25ca', 9728], ['IMAGE_SECTION_HEADER', '0x4000', '0xa24', 3072], ['IMAGE_SECTION_HEADER', '0x5000', '0x3d2468', 1536]]","[{'name': b'KERNEL32.dll', 'functions': ['CreateFileA', 'LocalAlloc', 'Sleep', 'CreateThread', 'CreateMutexA', 'CopyFileW', 'GetFileSize', 'CreateProcessA', 'GetEnvironmentVariableW', 'GetShortPathNameW', 'GetStartupInfoA', 'GetModuleHandleA', 'ReadFile', 'LocalFree', 'GetLastError', 'GetModuleFileNameW', 'CloseHandle']}, {'name': b'USER32.dll', 'functions': ['SendMessageA', 'FindWindowExA']}, {'name': b'ADVAPI32.dll', 'functions': ['RegQueryValueExA', 'RegCloseKey', 'RegSetValueExW', 'RegOpenKeyExA']}, {'name': b'SHELL32.dll', 'functions': ['SHGetSpecialFolderPathW', 'ShellExecuteW']}, {'name': b'MSVCRT.dll', 'functions': ['_controlfp', '_except_handler3', '__set_app_type', 'memset', '__CxxFrameHandler', 'strlen', 'sprintf', 'memcpy', 'strcpy', 'strcat', '_mbsnbcpy', '_mbsnbcmp', 'atol', '_mbscmp', 'atoi', 'fclose', 'fwrite', 'fopen', 'strstr', 'wcslen', 'wcstombs', 'setlocale', 'wcscmp', 'wcscat', 'mbstowcs', 'wcsrchr', 'wcscpy', 'getenv', 'strcmp', 'time', 'free', '__dllonexit', '_onexit', '_exit', '_XcptFilter', 'exit', '_acmdln', '__getmainargs', '_initterm', '__setusermatherr', '_adjust_fdiv', '__p__commode', '__p__fmode', '_strnicmp']}, {'name': b'WININET.dll', 'functions': ['HttpAddRequestHeadersA', 'HttpOpenRequestA', 'HttpEndRequestA', 'InternetWriteFile', 'HttpSendRequestA', 'InternetReadFile', 'HttpQueryInfoA', 'InternetAttemptConnect', 'InternetCloseHandle', 'InternetConnectA', 'InternetOpenA', 'HttpSendRequestExA']}, {'name': b'WS2_32.dll', 'functions': ['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']}]",Tue Sep 28 08:09:41 2010 UTC
15,EEE99EC8AA67B05407C01094184C33D2B5A44,"[['IMAGE_SECTION_HEADER', '0x1000', '0x5000', 0], ['IMAGE_SECTION_HEADER', '0x6000', '0x1000', 3584], ['IMAGE_SECTION_HEADER', '0x7000', '0x1000', 512]]","[{'name': b'KERNEL32.DLL', 'functions': ['LoadLibraryA', 'ExitProcess', 'GetProcAddress', 'VirtualProtect']}, {'name': b'MSVCRT.dll', 'functions': ['atol']}, {'name': b'USER32.dll', 'functions': ['LoadStringA']}, {'name': b'WS2_32.dll', 'functions': ['send']}]",Fri Jan 15 17:20:56 2010 UTC
16,650A6FCA433EE243391E4B4C11F09438,"[['IMAGE_SECTION_HEADER', '0x1000', '0x5000', 0], ['IMAGE_SECTION_HEADER', '0x6000', '0x1000', 4096], ['IMAGE_SECTION_HEADER', '0x7000', '0x1000', 512]]","[{'name': b'KERNEL32.DLL', 'functions': ['LoadLibraryA', 'ExitProcess', 'GetProcAddress', 'VirtualProtect']}, {'name': b'MSVCRT.dll', 'functions': ['atol']}, {'name': b'SHELL32.dll', 'functions': ['SHChangeNotify']}, {'name': b'USER32.dll', 'functions': ['LoadStringA']}, {'name': b'WS2_32.dll', 'functions': ['closesocket']}]",Thu May 14 17:12:40 2009 UTC
17,KLp90_6D5C8FC4B14559F73B6136D85B94198,"[['IMAGE_SECTION_HEADER', '0x1000', '0x25ca', 9728], ['IMAGE_SECTION_HEADER', '0x4000', '0xa24', 3072], ['IMAGE_SECTION_HEADER', '0x5000', '0x3d2468', 1536]]","[{'name': b'KERNEL32.dll', 'functions': ['CreateFileA', 'LocalAlloc', 'Sleep', 'CreateThread', 'CreateMutexA', 'CopyFileW', 'GetFileSize', 'CreateProcessA', 'GetEnvironmentVariableW', 'GetShortPathNameW', 'GetStartupInfoA', 'GetModuleHandleA', 'ReadFile', 'LocalFree', 'GetLastError', 'GetModuleFileNameW', 'CloseHandle']}, {'name': b'USER32.dll', 'functions': ['SendMessageA', 'FindWindowExA']}, {'name': b'ADVAPI32.dll', 'functions': ['RegQueryValueExA', 'RegCloseKey', 'RegSetValueExW', 'RegOpenKeyExA']}, {'name': b'SHELL32.dll', 'functions': ['SHGetSpecialFolderPathW', 'ShellExecuteW']}, {'name': b'MSVCRT.dll', 'functions': ['_controlfp', '_except_handler3', '__set_app_type', 'memset', '__CxxFrameHandler', 'strlen', 'sprintf', 'memcpy', 'strcpy', 'strcat', '_mbsnbcpy', '_mbsnbcmp', 'atol', '_mbscmp', 'atoi', 'fclose', 'fwrite', 'fopen', 'strstr', 'wcslen', 'wcstombs', 'setlocale', 'wcscmp', 'wcscat', 'mbstowcs', 'wcsrchr', 'wcscpy', 'getenv', 'strcmp', 'time', 'free', '__dllonexit', '_onexit', '_exit', '_XcptFilter', 'exit', '_acmdln', '__getmainargs', '_initterm', '__setusermatherr', '_adjust_fdiv', '__p__commode', '__p__fmode', '_strnicmp']}, {'name': b'WININET.dll', 'functions': ['HttpAddRequestHeadersA', 'HttpOpenRequestA', 'HttpEndRequestA', 'InternetWriteFile', 'HttpSendRequestA', 'InternetReadFile', 'HttpQueryInfoA', 'InternetAttemptConnect', 'InternetCloseHandle', 'InternetConnectA', 'InternetOpenA', 'HttpSendRequestExA']}, {'name': b'WS2_32.dll', 'functions': ['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']}]",Tue Sep 28 08:09:41 2010 UTC
18,DS22_A670D13D4D014169C4080328B8FEB86,"[['IMAGE_SECTION_HEADER', '0x1000', '0x25ca', 9728], ['IMAGE_SECTION_HEADER', '0x4000', '0xa24', 3072], ['IMAGE_SECTION_HEADER', '0x5000', '0x3d2468', 1536]]","[{'name': b'KERNEL32.dll', 'functions': ['CreateFileA', 'LocalAlloc', 'Sleep', 'CreateThread', 'CreateMutexA', 'CopyFileW', 'GetFileSize', 'CreateProcessA', 'GetEnvironmentVariableW', 'GetShortPathNameW', 'GetStartupInfoA', 'GetModuleHandleA', 'ReadFile', 'LocalFree', 'GetLastError', 'GetModuleFileNameW', 'CloseHandle']}, {'name': b'USER32.dll', 'functions': ['SendMessageA', 'FindWindowExA']}, {'name': b'ADVAPI32.dll', 'functions': ['RegQueryValueExA', 'RegCloseKey', 'RegSetValueExW', 'RegOpenKeyExA']}, {'name': b'SHELL32.dll', 'functions': ['SHGetSpecialFolderPathW', 'ShellExecuteW']}, {'name': b'MSVCRT.dll', 'functions': ['_controlfp', '_except_handler3', '__set_app_type', 'memset', '__CxxFrameHandler', 'strlen', 'sprintf', 'memcpy', 'strcpy', 'strcat', '_mbsnbcpy', '_mbsnbcmp', 'atol', '_mbscmp', 'atoi', 'fclose', 'fwrite', 'fopen', 'strstr', 'wcslen', 'wcstombs', 'setlocale', 'wcscmp', 'wcscat', 'mbstowcs', 'wcsrchr', 'wcscpy', 'getenv', 'strcmp', 'time', 'free', '__dllonexit', '_onexit', '_exit', '_XcptFilter', 'exit', '_acmdln', '__getmainargs', '_initterm', '__setusermatherr', '_adjust_fdiv', '__p__commode', '__p__fmode', '_strnicmp']}, {'name': b'WININET.dll', 'functions': ['HttpAddRequestHeadersA', 'HttpOpenRequestA', 'HttpEndRequestA', 'InternetWriteFile', 'HttpSendRequestA', 'InternetReadFile', 'HttpQueryInfoA', 'InternetAttemptConnect', 'InternetCloseHandle', 'InternetConnectA', 'InternetOpenA', 'HttpSendRequestExA']}, {'name': b'WS2_32.dll', 'functions': ['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']}]",Tue Sep 28 08:09:41 2010 UTC
19,785003A405BC7A4EBCBB21DDB757BF3F,"[['IMAGE_SECTION_HEADER', '0x1000', '0x5000', 0], ['IMAGE_SECTION_HEADER', '0x6000', '0x1000', 4096], ['IMAGE_SECTION_HEADER', '0x7000', '0x1000', 512]]","[{'name': b'KERNEL32.DLL', 'functions': ['LoadLibraryA', 'ExitProcess', 'GetProcAddress', 'VirtualProtect']}, {'name': b'MSVCRT.dll', 'functions': ['atol']}, {'name': b'SHELL32.dll', 'functions': ['SHChangeNotify']}, {'name': b'USER32.dll', 'functions': ['LoadStringA']}, {'name': b'WS2_32.dll', 'functions': ['closesocket']}]",Thu May 14 17:12:40 2009 UTC
